id	code	name	short_name	created_at	updated_at
1	1	ОГИБДД УМВД России по г. Сыктывкару	г. Сыктывкар	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
2	2	ОГИБДД ОМВД России по г. Воркуте	г. Воркута	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
3	3	ОГИБДД ОМВД России по г. Инте	г. Инта	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
4	4	ОГИБДД ОМВД России по г. Печоре	г. Печора	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
5	5	ОГИБДД ОМВД России по г. Усинску	г. Усинск	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
6	6	ОГИБДД ОМВД России по г. Ухте	г. Ухта	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
7	7	ОГИБДД ОМВД России по г. Сосногорску	г. Сосногорск	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
8	8	ОГИБДД ОМВД России по г. Вуктылу	г. Вуктыл	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
9	9	ОГИБДД ОМВД России по Троицко-Печорскому району	Троицко-Печорский р-н	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
10	10	ОГИБДД ОМВД России по Княжпогостскому району	Княжпогостский р-н	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
11	11	МО МВД России "Сысольский"	Сысольский р-н	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
12	12	ОП № 14 Койгородский район	Койгородский р-н	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
13	13	ОГИБДД ОМВД России по Прилузскому району	Прилузский р-н	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
14	14	ОГИБДД ОМВД России по Сыктывдинскому району	Сыктывдинский р-н	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
15	15	ОГИБДД ОМВД России по Корткеросскому району	Корткеросский р-н	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
16	16	ОГИБДД ОМВД России по Усть-Куломскому району	Усть-Куломский р-н	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
17	17	ОГИБДД ОМВД России по Удорскому району	Удорский р-н	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
18	18	ОГИБДД ОМВД России по Усть-Вымскому району	Усть-Вымский р-н	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
19	19	ОГИБДД ОМВД России по Ижемскому району	Ижемский р-н	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
20	20	ОГИБДД ОМВД России по Усть-Цилемскому району	Усть-Цилемский р-н	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
21	21	ЦАФАП ГИБДД МВД по Республике Коми	ЦАФАП	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
22	22	СВ ДПС ГИБДД ОР	СВ ДПС	2016-08-04 10:36:34.703475	2016-08-04 10:36:34.703475
